Id,SalePrice
1461,124815.25841530922
1462,156520.79671632661
1463,167256.32157446278
1464,176126.64273607323
1465,206341.0289324619
1466,174801.28342493006
1467,155084.6438215863
1468,165423.2461878645
1469,193646.26651016975
1470,115678.68403498792
1471,191686.96834857707
1472,99388.89288061699
1473,98788.30022291743
1474,153984.99921184493
1475,116999.16777646879
1476,380303.81391308387
1477,243882.65621841126
1478,334635.57514595875
1479,336144.4026880948
1480,490759.55895385914
1481,303011.54386758636
1482,207066.8683247205
1483,172492.27747534518
1484,160035.72207340898
1485,166863.69372082604
1486,199302.52744364584
1487,331713.27911193663
1488,260256.62200470435
1489,197254.43394829496
1490,204898.99076103166
1491,199031.23863671874
1492,122018.00004871018
1493,175672.32956291988
1494,311505.4354540264
1495,286869.9430434295
1496,233973.42685877864
1497,190528.92886748075
1498,153756.02417515754
1499,144936.08412034815
1500,145549.51199058926
1501,181854.7537043567
1502,139419.97607165255
1503,252158.40450654426
1504,235345.82857429158
1505,221212.7264641286
1506,174523.1931400564
1507,217943.6633639328
1508,199371.48133182988
1509,166176.62318137704
1510,154873.53677675722
1511,156521.10767994376
1512,167849.34521584676
1513,164253.14976939152
1514,143607.86416643325
1515,195570.53387518905
1516,171095.51343015855
1517,142342.73346157768
1518,147754.964015542
1519,201072.9149626936
1520,139058.7177847531
1521,146726.38202207113
1522,167576.975368345
1523,119120.28738862436
1524,116858.7530648335
1525,126043.56496140719
1526,137883.28183024423
1527,97529.47066575065
1528,131197.4945210505
1529,147937.70922894403
1530,163894.53627957337
1531,110156.61899350076
1532,100570.37264767053
1533,158238.7951493582
1534,111148.07986568946
1535,140395.96257347512
1536,124799.3969623945
1537,91512.71808718627
1538,170934.72606614584
1539,180486.6712251418
1540,120998.37738539153
1541,151992.24468537475
1542,133129.80613923437
1543,190984.21360357554
1544,99152.94389379384
1545,112925.56956375382
1546,127392.55143988166
1547,128125.27701221457
1548,128759.5980814377
1549,111529.67752841
1550,147212.13932532386
1551,119653.4822281388
1552,125824.44654033704
1553,145985.09813219134
1554,112455.91022135747
1555,171211.7581346129
1556,132022.84511001458
1557,114948.55366372883
1558,104549.90925765257
1559,119622.28977162376
1560,139290.07678737873
1561,132297.5418456984
1562,125434.07075778273
1563,123176.6264023709
1564,159329.52709898385
1565,148902.78517427758
1566,216994.45061207606
1567,106466.91560938909
1568,205737.6715069243
1569,127922.74112893938
1570,126952.57397295757
1571,126950.69491566182
1572,142026.0437382237
1573,213639.9662597767
1574,154366.60354148044
1575,194399.17086941676
1576,215879.32826115724
1577,191986.61601292435
1578,158770.51960156998
1579,137514.7596488518
1580,189159.7761698239
1581,140391.62562974673
1582,131480.8283297645
1583,276192.3195156159
1584,230806.016643073
1585,142655.62816740383
1586,79120.07232309984
1587,103096.24491745338
1588,143536.94083547985
1589,108616.34224831394
1590,125426.11242319779
1591,101059.89687437654
1592,121305.25085521056
1593,136186.33633727327
1594,121017.37541483971
1595,134153.25767374033
1596,238774.3783588116
1597,178600.94441118283
1598,203686.05405713344
1599,160598.3155911993
1600,183593.4210516332
1601,53078.848156517284
1602,112403.42064296702
1603,86777.35279911949
1604,275105.474110484
1605,251226.03811684024
1606,175053.60622176554
1607,183820.29946629115
1608,192713.8216482511
1609,193077.72109798042
1610,152742.2626830665
1611,151863.49633843705
1612,174815.96934755158
1613,162207.67947301583
1614,108361.21096792826
1615,79562.43200052732
1616,82754.27039894022
1617,89116.81529965434
1618,118486.6347554746
1619,145510.52678422
1620,165478.51853308754
1621,138700.90227800008
1622,132841.79550752876
1623,248349.8710337984
1624,204569.78599899999
1625,133239.35588124965
1626,163093.31846959915
1627,177547.59890334518
1628,265378.38842780597
1629,168930.19220505992
1630,334552.8820165514
1631,202165.4096206028
1632,256428.1735075669
1633,155425.19271901084
1634,181084.33558719236
1635,173667.31434817385
1636,163179.63261528566
1637,171158.94445003348
1638,224948.9589272711
1639,168656.21587400066
1640,266689.59557717753
1641,169805.15851435962
1642,227433.21736794678
1643,245769.59835148024
1644,235824.84290449874
1645,165447.67246682974
1646,151665.68887151702
1647,170242.46562966242
1648,147370.39967245943
1649,135355.0256381326
1650,116244.06189350085
1651,114462.78204179445
1652,101115.00546601597
1653,101115.00546601597
1654,154490.1152055781
1655,138065.67963051383
1656,149565.6744752016
1657,150878.40485444467
1658,148770.7562070794
1659,116561.4636692036
1660,138256.69112236451
1661,442498.19927380653
1662,434769.29678293876
1663,379936.5183042297
1664,526052.326752366
1665,340407.13228023145
1666,306338.60165636544
1667,384705.16469683195
1668,337789.81512718444
1669,288613.2494280165
1670,352009.51854503504
1671,230708.80674738705
1672,450656.40451793803
1673,300107.9119466575
1674,255343.83650826098
1675,188810.94645167075
1676,188350.73118472617
